Arabic,English
تطاق,Tolerable
إعطيني,Give me
استقالت,Resigned
الثدييات,mammals
تصفح,browse
مذكّرة,note
بيرغيت,Birgit
العزاب,singles
استعرت,I borrowed
فينشي,Vinci
القياسات,Measurements
مزيّفة,fake
سيئَ,bad
جدّية,seriousness
الإغتيال,assassination
الصّباح,the morning
إسلام,Islam
تتشكل,It is formed
باكس,Pax
السكوتش,Scotch
بتمويل,Funded by
أجريتها,I did it
إقناعهم,Convince them
إستخدموا,They used
لتمثيل,To represent
مكغاريت,McGarrett
اعمالي,My works
التورم,swelling
فـقط,Only
إعداده,Prepare it
يقفزون,They jump
بيرغر,Burger
أوركسترا,orchestra
ويبدوا,It seems
عبقريّ,genius
باليانصيب,By lottery
لنتحرّك,Let's move
مولدك,Your birth
تزعجك,It bothers you
سأرفض,I will refuse
ينقذك,saves you
بالعاشرة,At ten o'clock
ستخبرين,You will tell
القطه,The cat
إغواء,seduction
جانبهم,Their side
نمكث,We stay
بجمال,Beautifully
انتظاري,Waiting for me
بمقابل,In exchange
لمسافات,For distances
الأساور,bracelets
بالأفكار,With ideas
عربتي,My cart
ولديكِ,And you have
سيوك,Siouk
واقيات,Condoms
سأرقص,I will dance
أفهمُ,I understand
انسحاب,withdrawal
الأسعاف,ambulance
تبصق,spit
الجلطة,thrombosis
رئيسكم,Your president
ديس,Dis
تحولوا,They turned
ليفين,Levin
عريض,broad
واشتريت,And I bought
مُتأخر,late
الهامستر,hamster
ناديت,I called
ملكٌ,king
رومانو,Romano
جُزء,part
تقنعني,Convince me
وَجدتَ,You found
هوانج,Hwang
النجاه,Salvation
بلادهم,Their country
الفنّ,Art
تسخين,heating
بصور,With pictures
معشر,People
ويمكنكِ,And you can
لضغط,to press
ذكرتِ,You mentioned
القطر,Qatar
نخدع,We deceive
كارميلا,Carmela
مهتمًا,interested
الكهرومغناطيسي,electromagnetic
بفمك,With your mouth
هارتمان,Hartmann
سميذرز,Smithers
الرزمة,The package
ستبيع,You will sell
أصواتكم,Your voices
سأقومُ,I will
حقـّاً,Really
يتضورون,They are starving
اللغه,the language
أنستطيع,Can we?
مُصابة,Infected
كبريت,matchsticks
بخمسين,Fifty
تنساني,You forget me
مابوسعي,I can't
أعددتُ,I prepared
بغموض,mysteriously
تحميلها,Download it
المُهمة,The mission
لبدأ,To start
شاشي,Shashi
بطانة,liner
سيمكنك,You will be able to
والهواء,And the air
مواليد,Births
درجاتك,Your grades
ارنولد,Arnold
أسعدني,I am happy
مريضتك,Your patient
أعنيّ,namely
لبقائك,For your survival
متزوّجة,married
لوحتي,My painting
العبوة,Packaging
المدرّب,The coach
الكثيف,dense
ليلند,Leland
المطاطي,rubber
مجموعتين,Two groups
لجدتي,To my grandmother
سأخلد,I will live forever
مارأيكِ,What is your opinion
سجلاته,His records
بتقرير,With a report
إحدي,One of them
البلاك,Black
اضعاف,double
بيسن,Bissen
محفوظ,Preserved
ملحق,extension
تصويري,descriptive
الشعاب,corals
وصاية,guardianship
الجليّ,The obvious
بجسدي,With my body
أَخّي,my brother
بموته,With his death
قرأتي,I read
الالتهاب,inflammation
لطفك,Your kindness
مسيرتك,Your career
واريدك,I want you
ركود,recession
إدوين,Edwin
أتركوني,Leave me
لجرائم,For crimes
وتلقي,And receive
وحيدون,Alone
أعلمها,I know her
يبث,broadcast
جنسن,Jensen
آتون,Aton
بديهي,Self-evident
عضلي,muscular
إدخاله,Enter it
الإستطلاع,Survey
مسؤلية,Responsibility
وأخبريه,And tell him
بشجرة,With a tree
أعطاهم,He gave them
بالطبخ,By cooking
يريني,Show me
هولدر,Holder
كيكة,cake
فرقعة,pop
الطباشير,chalk
قساة,cruel
يطبق,Applies
أتوجه,I head
أدراني,I know
بالمقدمة,In the introduction
طاهرة,Pure
يَمُوتُ,He dies
يفتحون,They open
سيولد,will be born
نيوبورت,Newport
آندري,Andre
لحيتك,Your beard
ماسح,Scanner
نموذجية,Typical
لودج,Lodge
تقلبات,fluctuations
طاولتنا,Our table
اصابته,He got injured
حازت,She won
ايقافها,Stop it
يضربها,He hits her
ملككم,Your king
بحبل,With a rope
فلنأمل,Let us hope
.علينا,On us.
تعريفك,Your definition
اطبخ,cook
يتحمّل,He endures
المكشوفة,exposed
إخفائه,hide it
يوصلك,It will take you
دارون,Darwin
بسرقتها,By stealing it
تمهّلي,Take your time
أخباره,His news
انطونيو,Antonio
أتجاه,direction
للمفاجأة,For the surprise
بزواج,By marriage
منبهرة,impressed
عيدُ,holiday
مكانكَ,Your place
اعلمني,Let me know
شيكو,Chico
أوزبورن,Osborne
أعدني,Bring me back
مالينا,Malena
صحّي,healthy
بإتخاذ,By taking
اسألني,Ask me
تهين,Insult
عملِ,a job
الساحره,The witch
والاخر,And the other
سنوي,annual
المنطقةِ,The area
تهدئ,Calm down
تحرز,You achieve
لعمليات,For operations
أخبرتُها,I told her
الحُصُول,Obtaining
البلاء,The plague
مسكتك,I got you
إحداهما,One of them
ليصبحوا,To become
لاعباً,player
أمريكياً,American
يسحق,crush
خراب,destruction
جور,injustice
لطيفَ,Nice
إبنكَ,Your son
ليلةٍ,Night
لدعوة,To invite
تلميذة,student
أعترفت,I confessed
التعرّض,Exposure
متأخرًا,late
تومض,flashing
القداس,Mass
كلفك,It cost you
جالسون,Sitting
بط,duck
لغزاً,A mystery
الاسراع,Speed ​​up
ايمان,faith
القدّيسين,Saints
صالحًا,valid
ريفير,River
سيرفع,Will raise
سجلاتك,Your records
المؤسفة,unfortunate
الداكن,dark
تضليل,Misleading
العذب,Sweet
طموحة,ambitious
تعج,crowded
والمنزل,and the house
انقاذها,Save her
سريعين,Fast
فلننطلق,Let's go
تزوجتك,I married you
الشراشف,Sheets
نكاد,We almost
مرشحة,candidate
ويتمور,Whitmore
فالنذهب,Let's go
الأوحد,The One
تعيشان,You live
شحنه,shipment
تظنُ,You think
للإفطار,For breakfast
ضم,Include
مواعدتي,My date
أنــه,That
تصلوا,Pray
وللمرة,And for the time
إنّا,I
أرعى,I graze
سمات,Features
أعدتها,I prepared it
هارد,Hard
ضارب,striker
سنلقي,We will throw
أحضريه,Bring it
بياناً,statement
ايُها,Hey
بزجاجة,With a bottle
تَعُودُ,Come back
الاصفر,yellow
معركه,battle
وتذكروا,And remember
عرفتى,You know
يغتفر,Forgive
ينطوي,involves
الشمطاء,The slut
بالفاكس,By fax
أُرسلت,Sent
أصابعها,Her fingers
سنتخطى,We will overcome
لأحضار,To bring
مركزية,Central
الآخرينِ,others
تيودور,Tudor
مجالات,Fields
تقفوا,Stop
نريدهم,We want them
بارنيل,Parnell
مولر,Muller
جداُ,very
سوهو,Soho
عمولة,commission
شكاوي,Complaints
أَراك,I see you
لشخصية,For character
أوافقكِ,I agree with you
حدثاً,event
تنحدر,descending
المتظاهرين,demonstrators
طلبَ,to request
سنتابع,We will follow up
يكرر,repeat
ميلت,Melt
ذهنه,His mind
السباغيتي,spaghetti
البرتقالية,orange
رائعتين,Adorable
كشمير,Kashmir
الفيلسوف,The philosopher
الـ40,The 40
الهويّة,Identity
خيانته,His betrayal
هارلان,Harlan
قديسة,Saint
مالفرق,What's the difference?
أركادي,Arkady
رادا,Rada
بندقيته,His gun
نستريح,We rest
أرسلوه,Send it
القالب,Template
أوصاف,Descriptions
تسئ,It is bad
متعقب,Tracker
اتري,I see
محبوسين,Imprisoned
منطقيّاً,Logically
التراث,Heritage
رايث,Wraith
بعدهم,After them
الرئيسِ,The President
بروكتر,Procter
هيوستون,Houston
العبوات,Packages
سانتي,Santi
بلفاست,Belfast
متزايد,growing
دليلنا,Our guide
حضورها,Her presence
بالبنك,At the bank
بالموعد,On time
يُساعدُ,Helps
مورد,resource
أتظنه,Do you think so?
ينحدر,descends
أقص,Short
المهجور,Abandoned
المظلات,umbrellas
بلاكويل,Blackwell
والحكومة,And the government
دنبار,Dunbar
نقولها,We say it
بمناقشة,Discussing
محادثه,conversation
أتقاضى,I get paid
بمقدورها,She can
لتحريك,To move
حســناً,Okay
موضوعي,objective
النائية,remote
يستولي,seize
للإنقاذ,To the rescue
مهمتها,Its mission
لإخلاء,To evacuate
المحاكمات,Trials
الظهيره,Noon
ــــ,-
كاميرتي,My camera
تتذكرى,Remember
ماتحتاجه,What you need
محسن,Mohsen
يعرفن,They know
معنويات,morale
أرسطو,Aristotle
حساساً,sensitive
يخلع,Take off
تُدير,Manage
البَقاء,survival
بيومك,Your day
النحت,sculpture
مبهرة,dazzling
مقلاة,frying pan
بدايتها,Its beginning
لتصنع,to make
الشقية,The miserable one
إحتساء,Sipping
للطلب,To order
الدجال,quack
إستمعى,Listen
بهـذه,With this
اريدُ,I want
ستغدو,You will become
تنادينى,You call me
الصبـاح,Morning
للإصلاح,For repair
اصر,Insist
حاليّاً,currently
إضافيين,Additional
بداعي,Because
أحبائي,My dear ones
للعيادة,For the clinic
إقليم,province
باعتبارها,As it is considered
منتبه,attentive
أحضرتهم,I brought them
فائض,surplus
مبالاة,indifference
النوويّ,Nuclear
مدته,Its duration
تلمسيه,Touch it
ورقه,paper
محبوساً,imprisoned
اردتك,I wanted you
يلائمك,It suits you
المتعدد,Multiple
وتنتظر,And waiting
التخلى,Abandonment
علوي,Alawi
الانابيب,Pipes
لحانة,Pub
لعبك,Your game
الافتراض,assumption
وكانها,As if
إطلاقه,Release it
الخرف,dementia
إيزاك,Isaac
أيرل,Earl
صيادين,fishermen
داركن,Darken
المرئي,Visual
راعى,Shepherd
لتقابل,To meet
اضربها,Hit it
بالتوقيت,On time
ولوج,Access
نشأنا,We grew up
تحتاجينها,You need it
أفيري,Avery
آملُ,hope
معركتي,My battle
سياسات,Policies
غطوا,Cover
اقتلوهم,kill them
سيكلفني,It will cost me
الخرافية,The mythical
تطلّب,ask
يلفت,It attracts
هزيمتهم,Their defeat
ارسلته,I sent it
أوجد,Find
راكبي,My riders
تمنحه,Give it to him
تسليط,Highlighting
للمشاعر,For feelings
بأخيك,With your brother
المُدعي,prosecutor
الممرض,nurse
تملكُ,Own
يدغدغ,tickles
الجحيمِ,Hell
مقاسك,Your size
فظيعه,Terrible
يَهتمُّ,cares
تستمتعون,Enjoy
التكهن,speculation
الإختراع,invention
الإبتسام,Smiling
تايغر,Tiger
أعاقب,I punish
لنتفقد,Let's check
اكلم,I speak
شؤوني,My affairs
سأقتلكِ,I will kill you
اخرجوه,Get him out
سأغيب,I will be absent
كلمتى,My word
أجلكَ,Your term
كليفورد,Clifford
مداهمة,raid
أتدركين,Do you realize?
أستأجر,hire
تسمونه,You call it
أحلك,darkest
قلمك,Your pen
سيراك,See you
.هنا,.here
اجهز,Get ready
إيرلندا,Ireland
بشراسة,fiercely
كــل,All
الاطار,framework
لاتفكر,Don't think
تكلّف,Cost
وقطعة,And a piece
شيطاناً,devil
إيميليا,Emilia
بإتصال,By contact
السياحة,Tourism
سأقابله,I will meet him
ياجماعة,Hey guys
بالصفقة,By the deal
داخلنا,Inside us
.آسف,.Sorry
مملوكة,Owned
دونت,I wrote down
حدثيني,Tell me
المتواصل,Continuous
بهاذا,With this
يجنون,They go crazy
تعفن,rot
اخترتِ,I chose
اشيائك,Your things
علو,Height
تشبيه,simile
مقالاً,An article
السجينة,The prisoner
إزدحام,congestion
محرقة,holocaust
أسمعيني,Listen to me
حماسة,enthusiasm
صبيان,boys
مفارقة,paradox
لمعرفه,To know
يزعجكِ,It bothers you
متمرد,rebel
وحاولي,And try
مجلّة,magazine
موجز,summary
بهو,lobby
التحفظ,reservation
بحبه,I love him
إنقلب,Flipped over
البورش,Porsche
للشواذ,For homosexuals
وبالحديث,And speaking of
واتتني,It came to me
العظمية,bone
تصميمه,His design
يدعك,He leaves you
المشتريات,Purchases
علاقةٌ,relationship
باوني,Pawnee
أنكن,You are
لأشاهد,to watch
حاجب,brow
بالنيران,By fire
ثالثا,Third
عبوات,Packages
اغسطس,August
وابنتك,And your daughter
أساسياً,Basically
يَجْعلُني,Makes me
بأمكانى,I can
المزرعه,The farm
جاهلة,ignorant
ستقطع,It will be cut
الجـراحـة,Surgery
إصمتي,Shut up
لمبنى,For the building
نتواجد,We are present
فاريس,Faris
اسبوعان,Two weeks
رمزية,Symbolism
لأَخْذ,To take
رعايتي,My care
أنين,whine
وعندئذ,And then
إشتريته,I bought it
جينسين,Jensen
وظهر,And appeared
أشاهدها,I watch it
بغضّ,With hatred
صلاحيات,powers
أبقت,kept
فاعله,Doer
الراقصين,dancers
تدعونا,invites us
كبيرين,Big
لملء,To fill
بَعض,some
آلبرت,Albert
الالة,god
للقصة,For the story
سرورنا,Our pleasure
التناقض,contradiction
الخريجين,graduates
ستجيب,You will answer
عواطفك,Your emotions
كرامتي,My dignity
.إنّي,.that I
لتعيد,To return
أعدتُ,I returned
سيؤلمك,It will hurt
تُقدم,progress
عقرب,scorpion
الزاويه,The angle
لشبكة,For the network
داغ,Dag
كتابها,her
روبيه,rupee
اضعه,I put it
جزيل,Many thanks
اسمة,His name
مستعدّاً,Ready
بصعوبه,With difficulty
مشوه,distorted
محاسبة,accounting
ريما,Reema
اشعال,Ignite
بالتبليغ,By reporting
اموالك,Your money
نسمعها,We hear it
شراؤها,buy it
كليوباترا,Cleopatra
ستبكي,You will cry
لأسأل,To ask
متورطا,involved
التوفير,Savings
سنتخلص,We will get rid of
كابتشينو,cappuccino
أصطحبك,I take you
تبث,broadcast
لحمه,His meat
أبيب,Abib
هربا,Escape
فأنتما,You two
وتقدم,And progress
لاتخبرني,Don't tell me
بالاعتبار,Considering
والانتظار,And waiting
اخلوا,Leave
لاصلاح,To fix
إنفصل,Separated
لأحدكم,For one of you
لشقة,For an apartment
أدور,I'm looking for
الفرخ,chick
وستعود,And you will return
مُقابلة,interview
الإنتربول,Interpol
لتحظى,To have fun
الحاصل,The result
إلهاً,God
المقاتلات,fighters
رأيناك,We saw you
متجول,wanderer
تلبي,Meet
تحدثتما,You talked
مباراه,match
أمرح,I have fun
بمشاعري,With my feelings
وأحضره,And bring him
محادثته,His conversation
وأجلس,And I sit
المخاط,Mucus
شكراُ,Thanks
يقابلني,Meet me
المستعارة,borrowed
اختطفوا,They kidnapped
ويلما,Wilma
يطاردنا,Chasing us
طاقتنا,Our energy
يبقيها,Keep it
بتوضيح,To clarify
محاولته,His attempt
أريتك,I showed you
أجانب,foreigners
سببُ,a reason
فلتأخذ,Take it
آكو,Ako
عشتها,I lived it
يقتلونك,They kill you
تسنى,It was possible
إعلاناً,Advertisement
بشرح,Explain
مطعمك,Your restaurant
خليلكِ,Your friend
أستقر,settle
معاطف,Coats
أيدا,Aida
لـ20,For 20
واحدةٍ,one
لنقضي,Let's spend
الأذرع,arms
طبعت,Printed
يقمن,They do
تُخطط,planning
زواجاً,marriage
عازمة,Determined
أتاني,He came to me
علّمتني,You taught me
تحدّق,stare
ولمدة,For a period of
.لدينا,We have.
والسيطرة,And control
دمائها,Her blood
خادعة,deceptive
الحرّة,Free
مصيرهم,Their fate
استخلاص,extraction
ساخنه,hot
الأخطبوط,octopus
انجح,Succeed
أتبعه,Follow him
الأمراء,princes
ريتشاردسون,Richardson
روينا,Rowena
محمصة,roaster
المتجمدة,frozen
قلّة,lack
تتعاملي,You deal
المخيّم,The camp
ايجابية,Positive
خادمي,My servant
أجود,The best
سلامتها,May she be safe
تخلف,Backwardness
والكلاب,and dogs
لأسألك,To ask you
بانتظارنا,Waiting for us
خطواتي,My steps
تستند,Based on
بالاسعاف,By ambulance
النظير,peer
العدائية,hostility
سأضيف,I will add
طولي,linear
مؤسفة,unfortunate
اجلبه,Bring it
الحيرة,Confusion
حيز,space
مقدّس,sacred
إعدامه,His execution
بالبيض,With eggs
اسأليه,Ask him
تمرح,Have fun
بالهلع,In panic
أعامل,I treat
البلورات,crystals
رياضياً,Mathematically
أحببتهم,I loved them
إفترض,assume
صورهم,Their pictures
شانا,Shana
قياسية,Standard
إيصالات,Receipts
مقبلة,Coming soon
كنيستنا,Our church
كلـا,No
أَتحدّثُ,I speak
لتخريب,to sabotage
توبياس,Tobias
ادعاء,claim
عفنة,rotten
بالأدلة,With evidence
البطولات,Championships
بالو,Palo
لاثنين,For two
مسافرين,travelers
المشاريب,Drinks
بإمكانكما,You can
موريتي,Moretti
يونانية,Greek
خلافاتنا,Our differences
لينتهي,To end
حقيقاً,Really
أجلبها,Bring it
لقولي,To say
لعبها,Play it
تتذكرينه,You remember him
مقالتي,My article
طاهي,cook
أطلعني,Show me
شاهدتِ,You saw
للوقود,For fuel
قشر,peel
لَا,no
ظٹظƒ,ظٹظƒ
وجعلتني,And made me
الطرود,Parcels
الاخريات,Others
يتقدمون,They are advancing
عـ,A
بدأناه,We started it
لزوج,For husband
نقر,Click
للتلاعب,to manipulate
فادحاً,fatal
متقطع,intermittent
روشيل,Rochelle
نوك,Nok
التصحيح,Correction
التكاثر,Reproduction
استجوابه,interrogate him
ثروات,Wealth
يُعذرُني,Excuse me
أخرجتني,You took me out
لأتكلم,to speak
لثواني,For seconds
جافن,Gavin
بتعبئة,Filling
الجرار,tractor
هنريك,Henrik
المتاحف,Museums
برادا,Prada
أمثالنا,Our proverbs
ستقودنا,You will lead us
لنجعله,Let's make it
بكيس,In a bag
كراون,Crown
واسمع,And listen
شيكولاتة,chocolate
يقرأها,Read it
القرعة,lottery
توقفها,Stop it
الصدأ,rust
سموّ,Highness
كامبيل,Campbell
كيندل,Kindle
عميله,Client
ليسَت,It is not
الجعه,Beer
صالحه,Saleha
سأسعد,I will be happy
ذلكَـ,That
وَضعتُ,I put
كأسان,Two cups
كشفها,Reveal it
بواسطته,whereby
فيديوهات,Videos
أختراق,breakthrough
فُقد,Lost
بشريط,With tape
وسنفعل,And we will
تكُونَ,Be
الاستحواذ,Acquisition
لحسابك,For your account
جثثهم,Their corpses
الماراثون,marathon
وبينها,And between them
اقتراض,borrowing
جراحات,Surgeries
قافية,rhyme
اسوا,worst
تتوقعون,You expect
عاودي,Come back
إنتباهه,His attention
ترميها,throw it
مُستعدّة,Ready
أبيجيل,Abigail
استطعتم,You could
قتالي,My fight
الشبكه,The network
ذهبتما,You both went
ويعني,It means
مضايقتك,harassing you
تفتقده,I miss him
وغني,Rich
لايملك,He does not have
محظوظان,Lucky
نقطتي,My point
مقدّر,estimated
لرؤيتنا,To see us
سكاى,Sky
إعطاءه,give it to him
بوالدتي,With my mother
بونو,Bono
يالي,Yali
بحماس,enthusiastically
أجرّب,I try
الإمبراطوري,Imperial
اقرأي,Read
بِأَنَّ,Because
كابوتو,Caputo
ساحق,overwhelming
صاعداً,Upward
خادمتك,Your maid
ريت,I wish
شعبى,popular
احبكم,I love you all
وهاهي,And here it is
تُعطي,give
مسافه,distance
كب,Cup
سلطته,His authority
تعيدني,Take me back
ريتز,Ritz
إيّاكِ,Don't
ممتازا,Excellent
ندفن,We bury
أُحضر,bring
الكوبية,Cuban
ارجاء,Postpone
الروضة,The kindergarten
للكحول,For alcohol
يذكرنى,Reminds me
أعنيها,I mean it
وصيته,His will
إمض,Go ahead
انتظرتك,I waited for you
بعضهن,Some of them
سأنقل,I will move
مانتيكور,Manticore
اعطانا,He gave us
باشياء,With things
كِلاكما,Both of you
الهدر,Waste
يستغلك,He is taking advantage of you
أخذوني,They took me
اخترتك,I chose you
بإخراجه,By taking it out
قاذفات,launchers
سيحبون,They will love
سياراتنا,Our cars
محاكمتك,Your trial
مبعوث,envoy
يستطيعان,They can
اعجاب,wonder
ينصب,Install
حررت,Freed
دونـا,Donna
سيجن,Sign
جلياً,Clearly
الاصطناعية,artificial
كلفنا,It cost us
تتخيّل,Imagine
بأستطاعتي,I can
متدينة,religious
نحضره,We prepare it
أضافية,Additional
البساطه,Simplicity
احضرنا,We brought
قواعدي,My rules
لاتحتاج,You don't need
منشطات,Stimulants
اتدخل,I interfere
اعجب,Liked
لرؤيه,To see
تركَ,to leave
قذفت,I threw
حفظها,Save it
ليلو,Lilo
خططه,His plans
رأيتُها,her
سيكتشفون,They will discover
النقاء,Purity
سيرغي,Sergey
ستيلسكن,Stiltskin
بدأه,He started it
نُصبحُ,We become
يشبة,Similar
لأشرح,To explain
اخرسى,Shut up
اللوائح,Regulations
المبجل,The venerable
نخلق,We create
ارجاع,return
ميتال,Metal
ذكرياته,His memories
الساعدي,Al-Saadi
اللغم,mine
معجبا,Admiring
للجنازة,For the funeral
ويشعر,And feels
مرطب,moisturizer
أجـــل,Yes
مخططة,planned
مرجع,reference
خضروات,vegetables
والكعك,and cakes
نتوقّف,We stop
للأصدقاء,For friends
ويستمر,And it continues
بتهور,headlong
فوتنا,We missed you
إحتفظي,Keep
يطاردون,They are chasing
أتهم,accuse
جميـل,Beautiful
والحمد,Praise be to God
حلّت,It happened
ليفون,Levon
احضاره,Bring it
تذوقت,I tasted
الصح,The press
تحدقين,Staring
هونّوجي,Honnoji
منظمات,Organizations
بالبدء,Starting with
بالفتى,With the boy
قاطعت,I boycotted
أليكسي,Alexei
عاديّة,Normal
اشتراه,bought it
بطولات,Championships
إنهضوا,Get up
النغمات,Tones
مزاجية,moody
الصلاحيات,Powers
إصمد,Hold on
بالكشف,By detection
تقاتلين,You are fighting
إنتظرنا,We waited
يندفع,rushes
بتأجيل,Postponed
ينسوا,They forget
يناقش,Discusses
الكشاف,The scout
أتشاجر,I quarrel
لتحاول,To try
الزنبق,lily
الخزانه,The treasury
وتوقفت,And stopped
يصح,Correct
أوصى,Recommended
أسلك,I ask you
سمعـت,I heard
افتحيه,Open it
للمبتدئين,For beginners
المُعلم,The teacher
بالمفاجآت,With surprises
مشرفة,Supervisor
الادمان,addiction
احمله,Carry it
سمعتنى,You heard me
فاجأتني,You surprised me
ماونتن,Mountain
كارديف,Cardiff
تصفيف,Styling
نفذوا,They executed
بكـل,With all
الجاهزة,Ready
إنتحارية,Suicidal
الحلمات,nipples
وصور,And pictures
الفدراليين,Federalists
ألديه,I have it
بالمسابقة,In the competition
أبلغني,Inform me
نيتك,Your intention
تنتحر,commit suicide
كأفضل,As the best
مندفع,impulsive
صلباً,Solid
وثمانية,And eight
اير,Air
آيدن,Aiden
بأمكانهم,They can
رجالكم,Your men
لحمايتهم,To protect them
مزمن,chronic
غيتار,guitar
قسـم,Section
أنابيث,Annabeth
سالومي,Salome
بدو,Bedouins
كارليتو,Carlito
الخنصر,little finger
قريتك,Your village
الدوارة,The roundabout
واظن,I think
تتصرفون,You act
أبشع,The ugliest
خبأ,stash
ديمقراطية,democracy
إنهُم,They are
بعقب,Butt
محصول,crop
آيا,Aya
تونا,Tuna
ستخبرينني,You will tell me
داريس,Daris
تعرضي,You are exposed
اربعين,Forty
إلزامي,mandatory
كرون,Crohn
عروسة,bride
يمضى,Go
منعنا,We were banned
تقييمك,Your rating
وتحدثنا,We talked
مدخنة,chimney
ستيفانو,Stefano
يؤول,It leads to
عامود,column
اعلانات,advertisements
والجمال,And beauty
اتضور,I am starving
يستقيل,Resign
ادعي,I claim
آندرسون,Anderson
بيرز,Bears
منسحب,withdrawn
لكــن,But
بجودة,With quality
آيرا,Ira
لأجيال,For generations
مضطرًا,forced
سنحقق,We will achieve
الأطول,The longest
عاطلة,unemployed
ديفن,Devon
إخضاع,Subjugation
يعوض,compensate
ويستطيع,And he can
آسيوي,Asian
عليّكِ,upon you
عدّ,counting
الأغصان,branches
التلميذ,The student
اتبعي,Follow
السجينات,female prisoners
دعاه,He invited him
شقيقتكِ,Your sister
لصالحهم,For their benefit
يخطف,kidnap
تحف,Antiques
أُخرج,Get out
انتظارنا,Waiting for us
عوائق,Obstacles
مدمنين,addicts
سولومون,Solomon
تايلند,Thailand
ميللي,Millie
تحبان,You love
راق,Classy
آيدا,Aida
الامتحانات,Exams
لشركات,For companies
أولياء,Guardians
ينقط,dripping
ينضج,ripens
يتتبع,Tracks
ألَنْ,Why not?
تضحكي,You laugh
الما,Water
سلبياً,negatively
مغادرون,Departing
إكساندر,Xander
جاءتني,She came to me
بيرناديت,Bernadette
شهياً,Delicious
فرانسيز,Frances
التعاسة,unhappiness
علمها,Her knowledge
بالإعتبار,Considering
غودفري,Godfrey
ولأكون,And to be
.مرحبًا,.Welcome
لروما,To Rome
الملامة,blame
مثارة,Excited
الفصائل,factions
أخالفك,I disagree with you
مدربين,Trainers
فوتت,I missed it
بنظري,In my opinion
تتفوق,excel
كنيستي,My church
عثمان,Othman
الأشقياء,The miserable ones
تعذب,torture
جيـدة,Good
صدع,crack
رأيتموه,You saw it
وافضل,And the best
ديليا,Delia
ينادوني,They call me
فخمة,luxurious
السّيدَ,Mr
لسباق,For racing
جنت,Heaven
اساسي,essential
مجهد,overwrought
كتم,Mute
أترككم,I leave you
سينيور,Senior
جراد,locust
حاولْ,Try
جنكيز,Genghis
واعظ,preacher
لديً,I have
وكأنّني,As if I
لعلّها,Maybe
تحلل,Decomposition
ستحتفظ,You will keep
صحفى,Journalist
أقنعك,I convinced you
لايريدون,They don't want to
للشركات,For companies
اشتريتُ,I bought
الكريكيت,cricket
وظائفنا,Our jobs
مصرفية,Banking
البلوز,The blues
تسعد,Be happy
شحنات,Shipments
الصناعات,Industries
محررة,Editor
احجز,Book
والثالثة,The third
بران,Bran
نيلز,Niels
الفرعي,Sub
يحضرها,Attends it
تقفون,You stand
اجتمعت,Gathered
أدارة,administration
ماخطب,What's wrong?
موضوعاً,Topic
البولندية,Polish
الضغوطات,pressures
هند,Hind
الحسناوات,The beauties
بدئت,I started
إتركْ,Leave
ايميل,Email
وأجهزة,and devices
تأمرني,You order me
نفّذ,do
لإعطائي,to give me
الحواس,senses
زياد,Ziad
وتجلس,And sit
إستلام,to receive
غسول,lotion
المكتبه,Library
الماكياج,makeup
أنتاركتيكا,Antarctica
ليعتني,To take care
لرؤيتهم,To see them
بدليل,As evidence
مفضلة,Favorite
الريموت,remote control
كحولي,alcoholic
لأمرهم,For their sake
لتخبرنا,To tell us
لإرضاء,To please
بدي,I want
أضعته,I lost it
معلوماته,His information
ندعك,We invite you
أرادو,They wanted
ماكياج,makeup
الحاسم,The decisive
بالعدالة,With justice
سألقاك,I will meet you
اهه,Ahhh
خامس,fifth
المجرى,Hungarian
موافقين,Agreed
قبلاتي,My kisses
معركتنا,Our battle
اسعى,I strive
وإلقاء,And throwing
أحـب,I love
كرنفال,carnival
حنجرة,throat
الكريكت,Cricket
أنظار,eyes
رستي,Rusty
إشارتك,Your sign
أجيبوا,Answer
دمائنا,Our blood
التزوير,forgery
هوجو,Hugo
لاكثر,For more
المبدع,The creative
تنتظريني,Waiting for me
أؤذيكِ,I hurt you
تنتقلي,You move
سأصطحبك,I will take you
بحقِّ,Truly
إفراغ,Empty
إبعاده,Deport him
متسكع,vagabond
بناتك,Your daughters
بينيلوبي,Penelope
هزيمتك,Your defeat
للعلاقات,For relationships
الحركية,Kinetics
وستعمل,And it will work
تعافيت,I recovered
بمستقبل,With the future
وأرسلت,And I sent
الكارت,The card
منافع,Benefits
وتعالي,Come on
إنتصار,victory
المختصر,Summary
ارقصي,Dance
قتلهما,He killed them
العادى,ordinary
متوازن,balanced
بالشرف,With honor
أنجيليكا,Angelica
عالمكم,Your world
جيكل,Jekyll
لتحدث,to speak
هاتفياً,By phone
مريضنا,Our patient
ياهذا,Hey you
بإرسالها,By sending it
ألغوا,Cancel
مزعجا,annoying
أيريك,Eric
إنعطف,turn
نوري,Nouri
الصائن,preservative
مفاجيء,Surprising
للسلاح,For weapons
عائلتهم,Their family
بأتجاه,towards
متزامنة,synchronized
يحتاجونك,They need you
بنسخة,In a copy
ظننـت,I thought
تتسرب,leaking
التعليمي,Educational
دافيء,warm
المدعية,The plaintiff
المُنظمة,The organization
كارولاينا,Carolina
سكيتر,Skeeter
وألم,And pain
بشغف,Passionately
تعاويذ,spells
أرادها,He wanted it
صوبوا,Aim
أقُل,less
لاذع,stinging
شاول,Saul
خدعتنا,You tricked us
سأوصل,I will deliver
